feature,importance
ts_y,0.04633770015201742
orig_bytes,0.04425161421607439
flow_speed,0.04255344287179522
bytes_ratio,0.0396907019975873
ts_x,0.038821814389304606
pkt_upload_bias,0.03582774913882434
pkts_diff,0.03488905926876452
orig_rate,0.03451063810677434
avg_pkt_size_orig,0.033977157135936055
conn_state_SF,0.03272247010636835
duration_x,0.031734392704863904
ts,0.028215590479225693
resp_rate,0.027036227740956285
orig_pkts,0.020918271381520536
upload_bias,0.020565843246206084
missed_bytes,0.020270372207516842
is_orig_0,0.019989902902289206
total_pkts,0.019686964603094364
pkt_download_bias,0.018752655350612914
pkts_ratio,0.017729922522203675
total_ip_bytes,0.01754650545794156
history_ShADadcgFf,0.017272379608298728
analyzers_0,0.015377149545570956
resp_pkts,0.015340380852514686
orig_ip_bytes,0.015267784020060337
parent_fuid_0,0.013396783581251022
conn_state_RSTO,0.013387081504604858
mime_type_0,0.012782497804055331
local_orig_y_0,0.012505362883247216
source_0,0.012368206951160433
resp_bytes,0.012213680441595258
analyzers_(empty),0.012103837631594014
parent_fuid_-,0.011687889893124895
avg_pkt_size_resp,0.011448573084613169
bytes_diff,0.011258392267246281
total_bytes,0.011041428742129895
download_bias,0.010969483080478088
is_heavy_upload,0.010914390979563711
trans_depth,0.009845589859184089
ip_bytes_ratio,0.009640694954739093
timedout_0,0.009524131874693925
source_HTTP,0.00917343536820839
seen_bytes,0.008438625190247144
ip_bytes_diff,0.008199127870120147
local_orig_y_T,0.007946941382547488
history_ShADacgfF,0.007826755437644753
timedout_F,0.007220605704010672
resp_ip_bytes,0.006269618598826347
resp_fuids_-,0.004456319574032659
is_long_connection,0.004376325265951383
mime_type_text/plain,0.0034686339337644365
response_body_len,0.0034478534380182556
orig_fuids_-,0.003307497129314811
is_orig_T,0.002925663108662419
version_-,0.0028653503004629484
status_code_-,0.0027353281924196483
id.orig_p_x,0.0022296032220223486
status_msg_-,0.0017439426067059702
orig_fuids_0,0.0016464211762864966
is_orig_F,0.0015871847264288341
request_body_len,0.0015858574650641061
version_1.1,0.0014451001135785898
orig_mime_types_-,0.0014371898089383796
info_code_0,0.0013693987989029006
resp_mime_types_text/html,0.0013441915075055391
status_msg_0,0.0012759608528788292
status_msg_Found,0.001159516838987456
resp_mime_types_-,0.001138982660630162
history_ShADacfgF,0.0011273942008071037
orig_mime_types_0,0.0010974323079177596
info_code_-,0.001081749842673554
orig_mime_types_text/plain,0.0010743924325197862
mime_type_text/html,0.0010139316214080854
duration_y,0.0009854176078434862
conn_state_S0,0.0009486019566046908
is_heavy_download,0.000913571651801127
resp_filenames_-,0.0008857124119719025
resp_filenames_0,0.0008418366962989995
version_0,0.0008187778053958233
